ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,Duration,Magnitude
3606,0,Australia,0,152.829,-27.2208,20651.57,2010-02-15,2010-02-16,0,0,0,Torrential Rain,2.0,1.0,10.628693805114752
3607,0,Bulgaria,,27.3388,41.1603,87346.16,2010-02-13,2010-02-20,0,0,0,Heavy Rain,1.0,7.0,13.32354450257507
3608,0,Australia,0,149.599,-32.4204,311949.24,2010-02-13,2010-02-16,0,0,0,Heavy Rain,2.0,3.0,14.442355230476153
3609,FL-2010-000023-ECU,Peru,,-78.2867,-4.68221,305772.0,2010-02-10,2010-02-17,0,0,80000,Torrential Rain,1.0,7.0,14.576505154227108
3610,0,Portugal,0,-17.0049,32.7438,483.058,2010-02-19,2010-02-20,0,32,0,Torrential Rain,2.0,1.0,6.8732839098188885
3611,0,Spain,0,-4.04265,38.9763,98474.34,2010-02-23,2010-02-24,0,32,1200,Heavy Rain,1.0,1.0,11.497551285607964
3612,0,France,0,-1.53213,46.7732,30834.35,2010-02-28,2010-03-02,0,48,500,Storm Surge and Heavy Rai,2.0,2.0,11.722678968381674
3613,FL-2010-000037-HTI,Haiti,0,-73.7657,18.4176,3836.32,2010-02-28,2010-03-02,0,13,0,Heavy Rain,1.0,2.0,8.945416033313405
3614,FL-2010-000046-MOZ,Mozambique,0,34.2547,-19.9647,26372.46,2010-02-22,2010-03-28,0,2,130000,Heavy Rain,1.0,34.0,13.706436087439531
3615,0,Australia,0,147.956,-26.2155,431681.63,2010-02-28,2010-03-17,0,0,0,Heavy Rain,2.0,17.0,16.501804152555707
3616,FL-2010-000038-ZMB,Zambia,,27.7369,-16.0918,85511.58,2010-03-01,2010-03-17,0,0,115,Heavy Rain,1.0,16.0,14.128995806590146
3617,FL-2010-000041-SOM,Ethiopia,,45.4942,9.19708,104208.15,2010-03-01,2010-03-11,0,0,16000,Heavy Rain,1.0,10.0,13.856730713208027
3618,FL-2010-000042-SRB,Serbia,,21.1442,44.4668,46896.64,2010-03-01,2010-03-02,0,0,4000,Heavy Rain,1.0,1.0,10.75570131007693
3619,0,Peru,0,-73.3575,-11.8464,57889.66,2010-03-02,2010-03-04,0,7,20,Heavy Rain,1.0,2.0,11.65944124440794
3620,0,Uganda,0,31.0638,1.13485,75196.57,2010-03-07,2010-03-12,0,0,20000,Heavy Rain,1.0,5.0,12.837298809629658
3621,0,Kenya,0,34.9929,0.012257,40320.05,2010-03-07,2010-05-03,0,26,2500,Torrential Rain,1.5,57.0,15.05312051876656
3622,0,USA,0,-86.3795,32.8939,48982.93,2010-03-10,2010-03-17,0,0,0,Heavy Rain,1.0,7.0,12.745137298107137
3623,FL-2010-000049-AGO,Angola,0,17.2457,-16.1122,274099.2,2010-03-01,2010-03-31,0,12,11500,Heavy Rain,1.0,30.0,15.922442745305942
3624,FL-2010-000051-KAZ,Kazakhstan,0,79.2127,45.0791,323846.84,2010-03-11,2010-03-26,0,43,5000,Heavy Rain Snowmelt Dam B,2.0,15.0,16.089223348621783
3625,0,USA,0,-78.1191,41.3644,1015176.36,2010-03-10,2010-03-24,0,0,0,Heavy Rain Snowmelt Dam B,1.0,14.0,16.46963023867444
3626,0,India,0,94.6126,27.2504,16885.63,2010-03-24,2010-03-26,0,0,0,Monsoon Rain,1.0,2.0,10.427365423906545
3627,FL-2010-000063-IDN,Indonesia,0,104.787,-4.44749,149970.68,2010-03-24,2010-03-26,0,0,25000,Torrential Rain,1.0,2.0,12.611342267865572
3629,0,USA,0,-74.873,39.4866,240301.51,2010-03-27,2010-03-31,0,0,0,Heavy Rain,2.0,4.0,14.469091247196555
3628,0,Russia,0,36.9829,53.2843,187689.01,2010-03-26,2010-03-31,0,0,0,Snowmelt,1.0,5.0,13.75197958241547
