,Economics,Governance,Social,Capacity,Ecosystem,Exposure,Food,Habitat,Health,Infrastructure,Sensitivity,Magnitude,Population,Population Density (People per Sq. Km.),"Net international migrants, both sexes",Febuary,March,April,May,June,July,August,September,October,November,December,Storms,DamBreak,Rain,Melting,TidesTsunami,binnedIDPs
1312,0.423946289867597,0.470742250813513,0.3111919352117,0.611701092210428,0.402591826593689,0.499465542027125,0.597292072493181,0.546089302246065,0.473083447388636,0.300032339048418,0.301786582019271,12.253988856485153,21367989,330.6,19881,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,low
1313,0.423946289867597,0.470742250813513,0.3111919352117,0.611701092210428,0.402591826593689,0.499465542027125,0.597292072493181,0.546089302246065,0.473083447388636,0.300032339048418,0.301786582019271,12.253988856485153,21367989,330.6,19881,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,med
1314,0.423946289867597,0.470742250813513,0.3111919352117,0.611701092210428,0.402591826593689,0.499465542027125,0.597292072493181,0.546089302246065,0.473083447388636,0.300032339048418,0.301786582019271,12.253988856485153,21367989,330.6,19881,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,low
1315,0.423946289867597,0.470742250813513,0.3111919352117,0.611701092210428,0.402591826593689,0.499465542027125,0.597292072493181,0.546089302246065,0.473083447388636,0.300032339048418,0.301786582019271,12.253988856485153,21367989,330.6,19881,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,low
1316,0.423946289867597,0.470742250813513,0.3111919352117,0.611701092210428,0.402591826593689,0.499465542027125,0.597292072493181,0.546089302246065,0.473083447388636,0.300032339048418,0.301786582019271,12.253988856485153,21367989,330.6,19881,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,low
1317,0.423946289867597,0.470742250813513,0.3111919352117,0.611701092210428,0.402591826593689,0.499465542027125,0.597292072493181,0.546089302246065,0.473083447388636,0.300032339048418,0.301786582019271,12.253988856485153,21367989,330.6,19881,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,low
1318,0.423946289867597,0.470742250813513,0.3111919352117,0.611701092210428,0.402591826593689,0.499465542027125,0.597292072493181,0.546089302246065,0.473083447388636,0.300032339048418,0.301786582019271,12.253988856485153,21367989,330.6,19881,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,low
1319,0.417596782823762,0.425852897797036,0.238494558842144,0.545752244327786,0.379721777086401,0.338302258818993,0.465875797347753,0.392892870675215,0.531017793228417,0.343084068548637,0.305603308582923,14.9873285799863,31474893,43.9,-75347,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,high
1320,0.481080044619665,0.457641594768427,0.279769254344927,0.50739484232187,0.375344854770676,0.338302258818993,0.437778126591033,0.368199014375716,0.512232790005716,0.360654413450353,0.305010946737948,15.61080707445896,33823667,47.2,-76158,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,med
1321,0.493543054553284,0.44890679077816,0.314427626405807,0.500702624586349,0.374648320268496,0.338302258818993,0.431261864861644,0.390448062061608,0.501592611123796,0.333035100740721,0.29408594508263,13.043589051660897,35701589,49.8,-63236,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,med
