"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"BGD","Bangladesh",0.464626219623583,0.464626219623583,0.464626219623583,0.464626219623583,0.464626219623583,0.464626219623583,0.464626219623583,0.464626219623583,0.464626219623583,0.464626219623583,0.525777443231066,0.732940168969122,0.740584071920057,0.746090273198274,0.747968859516723,0.81702310142941,0.816828764913708,0.821622398967684,0.831468782429907,0.175064811227986,0.170012061819742,0.205057413484622,0.20288732239262,0.201170683170588,0.201301084322183,0.207133035437048,0.207133035437048
"BRB","Barbados",0.48095048694253,0.48095048694253,0.48095048694253,0.48095048694253,0.48095048694253,0.48095048694253,0.48095048694253,0.48095048694253,0.48095048694253,0.48095048694253,0.542101710550012,0.749264436288069,0.756908339239005,0.76241454051722,0.764293126835671,0.833347368748356,0.833153032232655,0.454909393838496,0.460188869181727,0.484448544225161,0.477905881529869,0.441564953093643,0.439200525485938,0.427345998028133,0.419693154247916,0.409285860269454,0.409285860269454
"BLR","Belarus",0.373773898533019,0.373773898533019,0.373773898533019,0.373773898533019,0.373773898533019,0.373773898533019,0.373773898533019,0.373773898533019,0.373773898533019,0.373773898533019,0.352267324128693,0.208911754379373,0.212895652951259,0.227276555113188,0.302031334819791,0.31398303053545,0.328882163405917,0.367587519449846,0.389288430369874,0.451961956683686,0.474634550182223,0.51670840583165,0.592661594051748,0.580191667627553,0.594973894937793,0.594297259725571,0.594297259725571
"BEL","Belgium",0.467832772132662,0.467832772132662,0.467832772132662,0.467832772132662,0.467832772132662,0.467832772132662,0.467832772132662,0.467832772132662,0.467832772132662,0.467832772132662,0.445484072826961,0.515931059768843,0.527429303614529,0.543526844998491,0.535591437274002,0.512465391905495,0.502133167154019,0.506343791660891,0.518684160407951,0.548709152083871,0.543494455579207,0.506181844564472,0.503040070893961,0.491509437628991,0.486841143879846,0.502532636658518,0.502532636658518
"BLZ","Belize",0.465597902202091,0.465597902202091,0.465597902202091,0.465597902202091,0.465597902202091,0.465597902202091,0.465597902202091,0.465597902202091,0.465597902202091,0.465597902202091,0.526749125809574,0.372057259310987,0.375522927174335,0.368267697254803,0.358065030180461,0.351522367485169,0.340704301444439,0.342615277182172,0.347732805428985,0.369951947057551,0.364478135198619,0.361627866301659,0.366777783967756,0.355830160249891,0.345553267423024,0.339238005442286,0.339238005442286
"BEN","Benin",0.315861616853899,0.315861616853899,0.315861616853899,0.315861616853899,0.315861616853899,0.315861616853899,0.315861616853899,0.315861616853899,0.315861616853899,0.315861616853899,0.289690966072731,0.215389638236098,0.222774425832764,0.21334910482123,0.173348172005955,0.125411831466191,0.134480868865606,0.132764229643575,0.161040192678178,0.179696498185544,0.221576017319271,0.239487366183114,0.270613598114677,0.294484600126708,0.287523742793894,0.294386757089289,0.294386757089289
"BTN","Bhutan",0.391555689719727,0.391555689719727,0.391555689719727,0.391555689719727,0.391555689719727,0.391555689719727,0.391555689719727,0.391555689719727,0.391555689719727,0.391555689719727,0.388039124197506,0.363312116104409,0.436715794320894,0.453151111077385,0.446747260179023,0.421427988419024,0.412729115811422,0.412877181728147,0.426425213108498,0.463441692289782,0.464885334977852,0.534069134567673,0.530071354816094,0.53081168439972,0.527756860896452,0.517703994886297,0.517703994886297
"BOL","Bolivia, Plurinational State of",0.386697276827185,0.386697276827185,0.386697276827185,0.386697276827185,0.386697276827185,0.386697276827185,0.386697276827185,0.386697276827185,0.386697276827185,0.386697276827185,0.36020273185318,0.313464799826911,0.310970814542072,0.298824782310713,0.301577882949821,0.279876972029793,0.278646174097015,0.275990241715759,0.285350783888726,0.283277861054573,0.276249357070028,0.290176807361986,0.291925836003301,0.292282119615422,0.290584711611089,0.287330418447544,0.287330418447544
"BIH","Bosnia and Herzegovina",0.359004323339687,0.359004323339687,0.359004323339687,0.359004323339687,0.359004323339687,0.359004323339687,0.359004323339687,0.359004323339687,0.359004323339687,0.359004323339687,0.336396508679717,0.25678331608057,0.256524200726301,0.258273229367616,0.252475523315848,0.242985423465746,0.268573064699808,0.275472011007221,0.293480528128915,0.315537722661063,0.303488858687555,0.303780363461108,0.309480901255025,0.316055953369601,0.310432677836266,0.303505222092089,0.303505222092089
"BWA","Botswana",0.374065403306571,0.374065403306571,0.374065403306571,0.374065403306571,0.374065403306571,0.374065403306571,0.374065403306571,0.374065403306571,0.374065403306571,0.374065403306571,0.393207550103193,0.365223091842141,0.366065216743517,0.36243760178375,0.365449817777127,0.357125737021236,0.352688386579379,0.358000251341894,0.364834418810738,0.427086882673864,0.419961210431466,0.470456315094635,0.463622147625791,0.45468266790351,0.464447740427739,0.45536149614933,0.45536149614933
